"Awarding Agency:","Tender Package No:","Tender Type:","Contract Type:","Lot #:","Tender Description:","Approval Auth:","Justification:","Contract Date:","Delivery / Completion Date:","Contract Currency:","Contract Award Price:","Contract Awarded To:","Company Email:","Company Address:","Company Tel:","Supplier #:"
"Gomoa East District Assembly","CR/GEDA/GDS/DACF/01/2018","NCT","Open Tender","1","Supply of 2No .4X4 Double Cabin Pick-UpThe Gomoa East District Assembly now invites sealed Tenders from eligible Tenderers for the above procurement. Tendering will be     conducted through the National Competitive Tendering procedures specified in the Public Procurement Act, 2003 (Act 663) as amended and in the Guidelines of the Public Procurement Authority of the Republic of Ghana.3. Interested eligible Tenderers shall be required to produce the following:i.	Valid Business Registration Certificate (Certificate of Incorporation)ii.	Valid Certificate to Commence Businessiii.	Valid SSNIT Clearance Certificateiv.	Valid Income Tax Certificatev.	Tender Securityvi.	PPA Registration Certificate4. A complete set of Tender Documents in English may be purchased by interested Tenderers on submission of application to the address below and upon payment of a non â€“ refundable fee of Two Hundred Ghana Cedis (Ghâ‚µ200.00).5. Tender must be signed, sealed and deposited in the â€œTender Boxâ€ in the Assembly Hall of the Assembly on or before 11:00am on Thursday, November 29, 2018. Late submission of Tender shall be rejected. Tenders shall be opened immediately in the presence of the Tenderers or their representatives who choose to attend. Tender shall be valid for a period 120 days after the deadline of bid submission.6. Interested eligible Tenderers may obtain further information from the Gomoa East District Assembly at the address below:THE DISTRICT COORDINATING DIRECTORGOMOA EAST DISTRICT ASSEMBLYGhana Post GPS CG-1936-0619GOMOA POTSINPhone: 0244983437","Entity Tender Committee","17th December, 2018","16th January, 2019","Ghana Cedi","Gh¢266346.15","JAPAN MOTORS TRADING COMPANY LIMITED","","","","-"
"Gomoa East District Assembly","CR/GEDA/GDS/DACF/02/2018","NCT","Open Tender","2","Supply of Various Quantities of Computers and AccessoriesThe Gomoa East District Assembly now invites sealed Tenders from eligible Tenderers for the above procurement. Tendering will be     conducted through the National Competitive Tendering procedures specified in the Public Procurement Act, 2003 (Act 663) as amended and in the Guidelines of the Public Procurement Authority of the Republic of Ghana.3. Interested eligible Tenderers shall be required to produce the following:i.	Valid Business Registration Certificate (Certificate of Incorporation)ii.	Valid Certificate to Commence Businessiii.	Valid SSNIT Clearance Certificateiv.	Valid Income Tax Certificatev.	Tender Securityvi.	PPA Registration Certificate4. A complete set of Tender Documents in English may be purchased by interested Tenderers on submission of application to the address below and upon payment of a non â€“ refundable fee of Two Hundred Ghana Cedis (Ghâ‚µ200.00).5. Tender must be signed, sealed and deposited in the â€œTender Boxâ€ in the Assembly Hall of the Assembly on or before 11:00am on Thursday, November 29, 2018. Late submission of Tender shall be rejected. Tenders shall be opened immediately in the presence of the Tenderers or their representatives who choose to attend. Tender shall be valid for a period 120 days after the deadline of bid submission.6. Interested eligible Tenderers may obtain further information from the Gomoa East District Assembly at the address below:THE DISTRICT COORDINATING DIRECTORGOMOA EAST DISTRICT ASSEMBLYGhana Post GPS CG-1936-0619GOMOA POTSINPhone: 0244983437","Entity Tender Committee","21st December, 2018","31st January, 2019","Ghana Cedi","Gh¢122889.30","PEE AND FAUSTY GHANA LIMITED","","","","-"
"Gomoa East District Assembly","CR/GEDA/GDS/DACF/03/2018","NCT","Open Tender","3","Supply of Office Furniture and EquipmentThe Gomoa East District Assembly now invites sealed Tenders from eligible Tenderers for the above procurement. Tendering will be     conducted through the National Competitive Tendering procedures specified in the Public Procurement Act, 2003 (Act 663) as amended and in the Guidelines of the Public Procurement Authority of the Republic of Ghana.3. Interested eligible Tenderers shall be required to produce the following:i.	Valid Business Registration Certificate (Certificate of Incorporation)ii.	Valid Certificate to Commence Businessiii.	Valid SSNIT Clearance Certificateiv.	Valid Income Tax Certificatev.	Tender Securityvi.	PPA Registration Certificate4. A complete set of Tender Documents in English may be purchased by interested Tenderers on submission of application to the address below and upon payment of a non â€“ refundable fee of Two Hundred Ghana Cedis (Ghâ‚µ200.00).5. Tender must be signed, sealed and deposited in the â€œTender Boxâ€ in the Assembly Hall of the Assembly on or before 11:00am on Thursday, November 29, 2018. Late submission of Tender shall be rejected. Tenders shall be opened immediately in the presence of the Tenderers or their representatives who choose to attend. Tender shall be valid for a period 120 days after the deadline of bid submission.6. Interested eligible Tenderers may obtain further information from the Gomoa East District Assembly at the address below:THE DISTRICT COORDINATING DIRECTORGOMOA EAST DISTRICT ASSEMBLYGhana Post GPS CG-1936-0619GOMOA POTSINPhone: 0244983437","Entity Tender Committee","08th January, 2019","08th February, 2019","Ghana Cedi","Gh¢94000.00","K ASENSO COMPANY LTD","","","","-"
"Gomoa East District Assembly","CR/GEDA/WKS/005A/19","NCT","Open Tender","3(A)","Construction of 1NO 3-Unit Classroom, Office, Store & Staff Common Room at Kojo Oku D/A School (Block - A)","Entity Tender Committee","03rd June, 2019","28th February, 2020","Ghana Cedi","Gh¢362935.65","OPPONG'S CONSTRUCTION LTD.","","","","-"
"Gomoa East District Assembly","CR/GEDA/WKS/013/19","NCT","Open Tender","","Construction of CHPS Compound at Fetteh Kakraba","Entity Tender Committee","28th November, 2019","31st July, 2020","Ghana Cedi","Gh¢321357.02","KEMSTEC COMPANY LIMITED","","","","-"
"Gomoa East District Assembly","EMRG/AR01","NCT","Open Tender","1","Construction of 6-Unit Classroom Block at Gomoa Kojo-Oku Primary School, in the Gomoa East District.The Gomoa East District Assembly now invites sealed Tenders from eligible and qualified Tenderers for the above project. Tendering will be conducted through the National Competitive Tendering procedures through evaluation procedures specify in the Public Procurement Act, 2003 (Act 663) as amended and in the Guidelines of the Public Procurement Authority of the Republic of Ghana.","Entity Tender Committee","12th July, 2019","31st March, 2020","Ghana Cedi","Gh¢449977.55","MEGA-VILLE LIMITED","","","","-"
"Grains And Legumes Development Board","GR/GLDB/GD/0001/2015","-","Restricted Tender","1","","Entity Tender Committee","40 (1)a - Proprietary","08th March, 2015","11th June, 2015","Ghana Cedi","Gh¢29158.00","SEFA AND JANE AGRO-CHEMICALS LTD","","P.O. BOX BP 342, BOHYEN KUMASI","","-"
"Grains And Legumes Development Board","GR/GLDB/GD/0002/2015","-","Restricted Tender","1","","Entity Tender Committee","40 (1)a - Proprietary","08th March, 2015","11th June, 2015","Ghana Cedi","Gh¢12684.00","SEFA AND JANE AGRO-CHEMICALS LTD","","P.O. BOX BP 342, BOHYEN KUMASI","","-"
"Grains And Legumes Development Board","GR/GLDB/GD/0003/2015","-","Restricted Tender","1","","Entity Tender Committee","40 (1)a - Proprietary","03rd August, 2015","06th November, 2015","Ghana Cedi","Gh¢6225.15","J. A. ADJEI ENTERPRISE","","P.O BOX 37 SPORTS-STADIUM KUMASI","","-"
"Ho Municipal Assembly","HMA/GSCSP/UDG/WKS/ NCT/01/2020","NCT","Open Tender","1","The Ministry of Local Government and Rural Development through the Government of the Republic of Ghana has received funds from the International Development Association (IDA) towards the cost of the Ghana Secondary Cities Support Program and intends to apply part of these funds to cover eligible payments for :Construction of 2 Storey 58 Unit Shops, 24 Unit W/C and other Ancillary Facilities at Ho Central Market","Entity Tender Committee","30th June, 2020","30th April, 2021","Ghana Cedi","Gh¢3737782.53","OMEGA A COMPANY LTD","","","","-"
"Ho Municipal Assembly","HMA/GSCSP/UDG/WKS/ NCT/02/2020","NCT","Open Tender","2","The Ministry of Local Government and Rural Development through the Government of the Republic of Ghana has received funds from the International Development Association (IDA) towards the cost of the Ghana Secondary Cities Support Program and intends to apply part of these funds to cover eligible payments for :Construction of 2 Storey 84 Unit Shops, 12 W/C and other Ancillary Facilities at Ho Central Market","Entity Tender Committee","30th June, 2020","30th April, 2021","Ghana Cedi","Gh¢5729401.37","Silver Cross  Estate Developers Company Limited","0","0","0","-"
"Ho Technical University","VR/HPOLY/GD/0015/2016","NCT","Open Tender","lot 2","Procurement of Calendar and Diaries - Various","HEAD OF ENTITY","09th January, 2016","12th January, 2016","Ghana Cedi","Gh¢49350.00","Hallel Ventures","","P. O. Box CT 5206, Cantonments, Accra","","-"
"Ho Technical University","VR/HPOLY/GD/0019/2015","NCT","Open Tender","lot 1","Procurement of UPS","ETC/PPA","03rd October, 2016","04th October, 2016","Ghana Cedi","Gh¢29962.00","Camelot Ghana Limited","","P. O. Box M191, Ministries, Accra","","-"
"Ho Technical University","VR/HPOLY/GD/0030/2016","NCT","Open Tender","LOT 3","Procurement of Training Materials for Mechanical Engineering (Auto Section) - Various","HEAD OF ENTITY","10th March, 2016","12th March, 2016","Ghana Cedi","Gh¢47423.00","JEADY VENTURES","","P.O.BOX HP 1553, HO","","-"
"Ho Technical University","VR/HTU/GDS/0005A/2023","-","Single Sourced","Lot 1","Procurement of Thin-Client Computers, Accessories, and Related Equipment for Retooling ICT Laboratories (Phase 1) on Ho Technical University Campus.","ETC/PPA","40 (1)b - Urgency","10th March, 2023","30th June, 2023","Ghana Cedi","Gh¢795184.00","esQuare Tech. Ltd","0","P. O. Box, Accra","0","-"
"Hohoe Municipal Assembly","HHMA/GSCSP/UDG-2/WKS/ NCT/LOT1-8/2021","NCT","Open Tender","1","Lot 1: Construction of 18No. Garages within light industrial area, HohoeLot 2: Construction of 10-unit Shop facility, 20-unit sanitary facility, 1no. Health and Fire Post, 1no. Police Station, within Light Industrial AreaLot 3: Construction of Access Road to Light Industrial Area and Paving of Hohoe Central MarketLot 4: Supply of 560 Mono Desk, 6No Teachers Chairs and 3No. Teachers TablesLot 5: Construction of 1No.  3-Unit Classroom Block, Staff Common Room, 4-Seater KVIP Toilet at Gbi-Wegbe E.P School in the Hohoe MunicipalityLot 6: Construction and Completion of 2-Storey 20No Lockable Store at Hohoe Main Lorry stationLot 7: Expansion of Gbledi Health Centre in the Hohoe MunicipalityLot 8: Construction of 1No. 3-Unit Classroom Block, Staff Common Room, 4-Seater KVIP Toilet  at SDA School in Hohoe in the Hohoe Municipality","Entity Tender Committee","22nd February, 2022","30th November, 2022","Ghana Cedi","Gh¢2424359.34","TDK ATLANTIC LTD.","","","","-"
"Hohoe Municipal Assembly","HHMA/GSCSP/UDG-2/WKS/ NCT/LOT1-8/2021","NCT","Open Tender","2","Lot 1: Construction of 18No. Garages within light industrial area, HohoeLot 2: Construction of 10-unit Shop facility, 20-unit sanitary facility, 1no. Health and Fire Post, 1no. Police Station, within Light Industrial AreaLot 3: Construction of Access Road to Light Industrial Area and Paving of Hohoe Central MarketLot 4: Supply of 560 Mono Desk, 6No Teachers Chairs and 3No. Teachers TablesLot 5: Construction of 1No.  3-Unit Classroom Block, Staff Common Room, 4-Seater KVIP Toilet at Gbi-Wegbe E.P School in the Hohoe MunicipalityLot 6: Construction and Completion of 2-Storey 20No Lockable Store at Hohoe Main Lorry stationLot 7: Expansion of Gbledi Health Centre in the Hohoe MunicipalityLot 8: Construction of 1No. 3-Unit Classroom Block, Staff Common Room, 4-Seater KVIP Toilet  at SDA School in Hohoe in the Hohoe Municipality","Entity Tender Committee","22nd February, 2022","30th November, 2022","Ghana Cedi","Gh¢2490514.51","HARROW AND BARROW SERVICES LTD.","","","","-"
"Hohoe Municipal Assembly","HHMA/GSCSP/UDG-2/WKS/ NCT/LOT1-8/2021","NCT","Open Tender","3","Lot 1: Construction of 18No. Garages within light industrial area, HohoeLot 2: Construction of 10-unit Shop facility, 20-unit sanitary facility, 1no. Health and Fire Post, 1no. Police Station, within Light Industrial AreaLot 3: Construction of Access Road to Light Industrial Area and Paving of Hohoe Central MarketLot 4: Supply of 560 Mono Desk, 6No Teachers Chairs and 3No. Teachers TablesLot 5: Construction of 1No.  3-Unit Classroom Block, Staff Common Room, 4-Seater KVIP Toilet at Gbi-Wegbe E.P School in the Hohoe MunicipalityLot 6: Construction and Completion of 2-Storey 20No Lockable Store at Hohoe Main Lorry stationLot 7: Expansion of Gbledi Health Centre in the Hohoe MunicipalityLot 8: Construction of 1No. 3-Unit Classroom Block, Staff Common Room, 4-Seater KVIP Toilet  at SDA School in Hohoe in the Hohoe Municipality","Entity Tender Committee","22nd February, 2022","30th November, 2022","Ghana Cedi","Gh¢1535365.93","BUMECON INVESTMENT LIMITED","","","","-"
"Hohoe Municipal Hospital","HHMH/GHS/VR /FWA/NCT /EM/01/2022","NCT","Open Tender","Various","The Hohoe Municipal Hospital, Volta Region intends to apply a portion of its Internally Generated Fund for eligible payments under the contract for which this invitation for Tender is issued.The Hohoe Municipal Hospital, Volta -Region now invites sealed Tenders from eligible Tenderers for the supply of the under listed itemsEssential Medicines - Various","Entity Tender Committee","07th July, 2022","07th July, 2023","Ghana Cedi","Gh¢100100.00","AMPONSAH-EFAH PHARMACEUTICALS LIMITED","","","","-"
"Hohoe Municipal Hospital","HHMH/GHS/VR /FWA/NCT /EM/01/2022","NCT","Open Tender","Various","The Hohoe Municipal Hospital, Volta Region intends to apply a portion of its Internally Generated Fund for eligible payments under the contract for which this invitation for Tender is issued.The Hohoe Municipal Hospital, Volta -Region now invites sealed Tenders from eligible Tenderers for the supply of the under listed itemsEssential Medicines - Various","Entity Tender Committee","07th July, 2022","07th July, 2023","Ghana Cedi","Gh¢121492.00","KOFIKROM PHARMACY LTIMITED","","","","-"
"Hohoe Municipal Hospital","HHMH/GHS/VR /FWA/NCT /EM/01/2022","NCT","Open Tender","Various","The Hohoe Municipal Hospital, Volta Region intends to apply a portion of its Internally Generated Fund for eligible payments under the contract for which this invitation for Tender is issued.The Hohoe Municipal Hospital, Volta -Region now invites sealed Tenders from eligible Tenderers for the supply of the under listed itemsEssential Medicines - Various","Entity Tender Committee","07th July, 2022","07th July, 2023","Ghana Cedi","Gh¢128570.00","GB PHARMA (GH) LIMITED","","","","-"
"Hohoe Municipal Hospital","HHMH/GHS/VR /FWA/NCT /EM/01/2022","NCT","Open Tender","Various","The Hohoe Municipal Hospital, Volta Region intends to apply a portion of its Internally Generated Fund for eligible payments under the contract for which this invitation for Tender is issued.The Hohoe Municipal Hospital, Volta -Region now invites sealed Tenders from eligible Tenderers for the supply of the under listed itemsEssential Medicines - Various","Entity Tender Committee","07th July, 2022","07th July, 2023","Ghana Cedi","Gh¢163700.00","INTRAVENOUS INFUSIONS PLC","","","","-"
"Hohoe Municipal Hospital","HHMH/GHS/VR /FWA/NCT /EM/01/2022","NCT","Open Tender","Various","The Hohoe Municipal Hospital, Volta Region intends to apply a portion of its Internally Generated Fund for eligible payments under the contract for which this invitation for Tender is issued.The Hohoe Municipal Hospital, Volta -Region now invites sealed Tenders from eligible Tenderers for the supply of the under listed itemsEssential Medicines - Various","Entity Tender Committee","07th July, 2022","07th July, 2023","Ghana Cedi","Gh¢189550.00","UNICHEM GHANA LIMITED","","","","-"
"Hohoe Municipal Hospital","HHMH/GHS/VR /FWA/NCT /EM/01/2022","NCT","Open Tender","Various","The Hohoe Municipal Hospital, Volta Region intends to apply a portion of its Internally Generated Fund for eligible payments under the contract for which this invitation for Tender is issued.The Hohoe Municipal Hospital, Volta -Region now invites sealed Tenders from eligible Tenderers for the supply of the under listed itemsEssential Medicines - Various","Entity Tender Committee","07th July, 2022","07th July, 2023","Ghana Cedi","Gh¢21840.00","M&G PHARMCEUTICALS LTD","","","","-"
"Hohoe Municipal Hospital","HHMH/GHS/VR /FWA/NCT /EM/01/2022","NCT","Open Tender","Various","The Hohoe Municipal Hospital, Volta Region intends to apply a portion of its Internally Generated Fund for eligible payments under the contract for which this invitation for Tender is issued.The Hohoe Municipal Hospital, Volta -Region now invites sealed Tenders from eligible Tenderers for the supply of the under listed itemsEssential Medicines - Various","Entity Tender Committee","07th July, 2022","07th July, 2023","Ghana Cedi","Gh¢25620.00","ADD PHARMA GH. LTD.","","","","-"
"Hohoe Municipal Hospital","HHMH/GHS/VR /FWA/NCT /EM/01/2022","NCT","Open Tender","Various","The Hohoe Municipal Hospital, Volta Region intends to apply a portion of its Internally Generated Fund for eligible payments under the contract for which this invitation for Tender is issued.The Hohoe Municipal Hospital, Volta -Region now invites sealed Tenders from eligible Tenderers for the supply of the under listed itemsEssential Medicines - Various","Entity Tender Committee","07th July, 2022","07th July, 2023","Ghana Cedi","Gh¢39108.00","LIFESCIENCE PHARMA LTD","","","","-"
"Hohoe Municipal Hospital","HHMH/GHS/VR /FWA/NCT /EM/01/2022","NCT","Open Tender","Various","The Hohoe Municipal Hospital, Volta Region intends to apply a portion of its Internally Generated Fund for eligible payments under the contract for which this invitation for Tender is issued.The Hohoe Municipal Hospital, Volta -Region now invites sealed Tenders from eligible Tenderers for the supply of the under listed itemsEssential Medicines - Various","Entity Tender Committee","07th July, 2022","07th July, 2023","Ghana Cedi","Gh¢391707.00","ERNEST CHEMISTS LIMITED","","","","-"
"Hohoe Municipal Hospital","HHMH/GHS/VR /FWA/NCT /EM/01/2022","NCT","Open Tender","Various","The Hohoe Municipal Hospital, Volta Region intends to apply a portion of its Internally Generated Fund for eligible payments under the contract for which this invitation for Tender is issued.The Hohoe Municipal Hospital, Volta -Region now invites sealed Tenders from eligible Tenderers for the supply of the under listed itemsEssential Medicines - Various","Entity Tender Committee","07th July, 2022","07th July, 2023","Ghana Cedi","Gh¢52400.00","SANBAO (GHANA) PHARMACEUTICAL LIMITED","","","","-"
"Hohoe Municipal Hospital","HHMH/GHS/VR /FWA/NCT /EM/01/2022","NCT","Open Tender","Various","The Hohoe Municipal Hospital, Volta Region intends to apply a portion of its Internally Generated Fund for eligible payments under the contract for which this invitation for Tender is issued.The Hohoe Municipal Hospital, Volta -Region now invites sealed Tenders from eligible Tenderers for the supply of the under listed itemsEssential Medicines - Various","Entity Tender Committee","07th July, 2022","07th June, 2023","Ghana Cedi","Gh¢54000.00","ALPHA DUO PHARMA LIMITED","","","","-"
"Hohoe Municipal Hospital","HHMH/GHS/VR /FWA/NCT /EM/01/2022","NCT","Open Tender","various","The Hohoe Municipal Hospital, Volta Region intends to apply a portion of its Internally Generated Fund for eligible payments under the contract for which this invitation for Tender is issued.The Hohoe Municipal Hospital, Volta -Region now invites sealed Tenders from eligible Tenderers for the supply of the under listed itemsEssential Medicines - Various","Entity Tender Committee","07th July, 2022","07th July, 2023","Ghana Cedi","Gh¢46406.60","ESKAY THERAPEUTICS LTD","","","","-"
"Hohoe Municipal Hospital","HHMH/GHS/VR /FWA/NCT/GD/01/2022","NCT","Open Tender","Various","The Hohoe Municipal Hospital, Volta Region intends to apply a portion of its Internally Generated Fund for eligible payments under the contract for which this invitation for Tender as below;Non Medicines Consumables - Various","Entity Tender Committee","07th July, 2022","07th July, 2022","Ghana Cedi","Gh¢15445.00","ADAM DENTAL AND MEDICAL WORLD LIMITED","","","","-"
"Hohoe Municipal Hospital","HHMH/GHS/VR /FWA/NCT/GD/01/2022","NCT","Open Tender","Various","The Hohoe Municipal Hospital, Volta Region intends to apply a portion of its Internally Generated Fund for eligible payments under the contract for which this invitation for Tender as below;Non Medicines Consumables - Various","Entity Tender Committee","07th July, 2022","07th July, 2022","Ghana Cedi","Gh¢187600.00","J. A. BINEY AND COMPANY LIMITED","","","","-"
"Hohoe Municipal Hospital","HHMH/GHS/VR /FWA/NCT/GD/01/2022","NCT","Open Tender","Various","The Hohoe Municipal Hospital, Volta Region intends to apply a portion of its Internally Generated Fund for eligible payments under the contract for which this invitation for Tender as below;Non Medicines Consumables - Various","Entity Tender Committee","07th July, 2022","07th July, 2023","Ghana Cedi","Gh¢120370.00","SANFERG LIMITED","","","","-"
"Hohoe Municipal Hospital","HHMH/GHS/VR /FWA/NCT/GD/01/2022","NCT","Open Tender","Various","The Hohoe Municipal Hospital, Volta Region intends to apply a portion of its Internally Generated Fund for eligible payments under the contract for which this invitation for Tender as below;Non Medicines Consumables - Various","Entity Tender Committee","07th July, 2022","07th July, 2023","Ghana Cedi","Gh¢129013.00","LABMART LIMITED","","","","-"
"Hohoe Municipal Hospital","HHMH/GHS/VR /FWA/NCT/GD/01/2022","NCT","Open Tender","Various","The Hohoe Municipal Hospital, Volta Region intends to apply a portion of its Internally Generated Fund for eligible payments under the contract for which this invitation for Tender as below;Non Medicines Consumables - Various","Entity Tender Committee","07th July, 2022","07th July, 2023","Ghana Cedi","Gh¢13094.15","DCL LABORATORY PRODUCT LIMITED","","","","-"
"Hohoe Municipal Hospital","HHMH/GHS/VR /FWA/NCT/GD/01/2022","NCT","Open Tender","Various","The Hohoe Municipal Hospital, Volta Region intends to apply a portion of its Internally Generated Fund for eligible payments under the contract for which this invitation for Tender as below;Non Medicines Consumables - Various","Entity Tender Committee","07th July, 2022","07th July, 2023","Ghana Cedi","Gh¢142417.00","RETAPLUS 1 ENTERPRISE","","","","-"
"Hohoe Municipal Hospital","HHMH/GHS/VR /FWA/NCT/GD/01/2022","NCT","Open Tender","Various","The Hohoe Municipal Hospital, Volta Region intends to apply a portion of its Internally Generated Fund for eligible payments under the contract for which this invitation for Tender as below;Non Medicines Consumables - Various","Entity Tender Committee","07th July, 2022","07th July, 2023","Ghana Cedi","Gh¢157930.00","CHRISTLAND GHANA LIMITED","","","","-"
"Hohoe Municipal Hospital","HHMH/GHS/VR /FWA/NCT/GD/01/2022","NCT","Open Tender","Various","The Hohoe Municipal Hospital, Volta Region intends to apply a portion of its Internally Generated Fund for eligible payments under the contract for which this invitation for Tender as below;Non Medicines Consumables - Various","Entity Tender Committee","07th July, 2022","07th July, 2023","Ghana Cedi","Gh¢177760.00","VKH SOLUTIONS ENTERPRISE","","","","-"
"Hohoe Municipal Hospital","HHMH/GHS/VR /FWA/NCT/GD/01/2022","NCT","Open Tender","Various","The Hohoe Municipal Hospital, Volta Region intends to apply a portion of its Internally Generated Fund for eligible payments under the contract for which this invitation for Tender as below;Non Medicines Consumables - Various","Entity Tender Committee","07th July, 2022","07th July, 2023","Ghana Cedi","Gh¢220900.00","SURGIMED GHANA LIMITED","","","","-"
"Hohoe Municipal Hospital","HHMH/GHS/VR /FWA/NCT/GD/01/2022","NCT","Open Tender","Various","The Hohoe Municipal Hospital, Volta Region intends to apply a portion of its Internally Generated Fund for eligible payments under the contract for which this invitation for Tender as below;Non Medicines Consumables - Various","Entity Tender Committee","07th July, 2022","07th July, 2023","Ghana Cedi","Gh¢271620.00","FRANDAK AGENCY","","","","-"
"Hohoe Municipal Hospital","HHMH/GHS/VR /FWA/NCT/GD/01/2022","NCT","Open Tender","Various","The Hohoe Municipal Hospital, Volta Region intends to apply a portion of its Internally Generated Fund for eligible payments under the contract for which this invitation for Tender as below;Non Medicines Consumables - Various","Entity Tender Committee","07th July, 2022","07th July, 2023","Ghana Cedi","Gh¢52350.00","STAK-FAM COMPANY LIMITED","","","","-"
"Hohoe Municipal Hospital","HHMH/GHS/VR /FWA/NCT/GD/01/2022","NCT","Open Tender","Various","The Hohoe Municipal Hospital, Volta Region intends to apply a portion of its Internally Generated Fund for eligible payments under the contract for which this invitation for Tender as below;Non Medicines Consumables - Various","Entity Tender Committee","07th July, 2022","07th July, 2023","Ghana Cedi","Gh¢57594.00","BARON HEALTHCARE LIMITED","","","","-"
"Hohoe Municipal Hospital","HHMH/GHS/VR /FWA/NCT/GD/01/2022","NCT","Open Tender","Various","The Hohoe Municipal Hospital, Volta Region intends to apply a portion of its Internally Generated Fund for eligible payments under the contract for which this invitation for Tender as below;Non Medicines Consumables - Various","Entity Tender Committee","07th July, 2022","07th July, 2023","Ghana Cedi","Gh¢58227.00","IKEMMAX PHARMACEUTICALS LIMITED","","","","-"
"Hohoe Municipal Hospital","HHMH/GHS/VR /FWA/NCT/GD/01/2022","NCT","Open Tender","Various","The Hohoe Municipal Hospital, Volta Region intends to apply a portion of its Internally Generated Fund for eligible payments under the contract for which this invitation for Tender as below;Non Medicines Consumables - Various","Entity Tender Committee","07th July, 2022","07th July, 2023","Ghana Cedi","Gh¢60867.70","UNIVERSAL HOSPITALS GROUP LIMITED","","","","-"
"Hohoe Municipal Hospital","HHMH/GHS/VR /FWA/NCT/GD/01/2022","NCT","Open Tender","Various","The Hohoe Municipal Hospital, Volta Region intends to apply a portion of its Internally Generated Fund for eligible payments under the contract for which this invitation for Tender as below;Non Medicines Consumables - Various","Entity Tender Committee","07th July, 2022","07th July, 2023","Ghana Cedi","Gh¢69500.00","ALOS PARAKLET HEALTHCARE LIMITED","","","","-"
"Hohoe Municipal Hospital","HHMH/GHS/VR /FWA/NCT/GD/01/2022","NCT","Open Tender","Various","The Hohoe Municipal Hospital, Volta Region intends to apply a portion of its Internally Generated Fund for eligible payments under the contract for which this invitation for Tender as below;Non Medicines Consumables - Various","Entity Tender Committee","07th July, 2022","31st July, 2023","Ghana Cedi","Gh¢109330.00","H Net Computers","0","P. O. Box HP 819, Ho","0243-765063","-"
"Hohoe Municipal Hospital","HHMH/GHS/VR /FWA/NCT/GD/01/2022","NCT","Open Tender","Various","The Hohoe Municipal Hospital, Volta Region intends to apply a portion of its Internally Generated Fund for eligible payments under the contract for which this invitation for Tender as below;Non Medicines Consumables - Various","Entity Tender Committee","07th July, 2022","31st July, 2023","Ghana Cedi","Gh¢49550.00","Kin-2j Company Limited","0","P. O. Box SK 585, Sakumono-Accra","0246-599740","-"
"Hohoe Municipal Hospital","HHMH/GHS/VR /FWA/NCT/GD/01/2022","NCT","Open Tender","Various","The Hohoe Municipal Hospital, Volta Region intends to apply a portion of its Internally Generated Fund for eligible payments under the contract for which this invitation for Tender as below;Non Medicines Consumables - Various","Entity Tender Committee","07th July, 2022","31st July, 2023","Ghana Cedi","Gh¢8950.00","EQUATORIAL HEALTHCARE SERVICES","","P.O.BOX F30/31","","-"
"Internal Audit Agency","GR/IAA/GD/03/2014","-","Single Sourced","1","","ETC/PPA","-","18th August, 2014","20th August, 2014","Ghana Cedi","Gh¢32504.00","LILYWEL FOODS & CATERING SERVICES","","LOCATION B702/5 BUBIASHIE, ACCRA. POST OFFICE BOX NT 372 NEW TOWN - ACCRA","","-"
"Internal Audit Agency","GR/IAA/GD/03/2014","-","Single Sourced","1","","ETC/PPA","-","18th August, 2014","20th August, 2014","Ghana Cedi","Gh¢32504.00","LILYWEL FOODS & CATERING SERVICES","","LOCATION B702/5 BUBIASHIE, ACCRA. POST OFFICE BOX NT 372 NEW TOWN - ACCRA","","-"
"Internal Audit Agency","GR/IAA/GD/03/2014","-","Single Sourced","1","","ETC/PPA","-","18th August, 2014","20th August, 2014","Ghana Cedi","Gh¢48756.00","MAK CATERING SERVICES LIMITED","","NEXT TO LA GENERAL HOSPITAL, POST OFFICE BOX C1 1140 TEMA","","-"
"Internal Audit Agency","GR/IAA/GD/18/2015","-","Single Sourced","1","","ETC/PPA","-","16th October, 2015","21st October, 2015","Ghana Cedi","Gh¢11515.00","MET-FAB ENGINEERING SERVICES LIMITED","","POST OFFICE BOX KW 590, KWABENYA - ACCRA","","-"
"Internal Audit Agency","GR/IAA/GD/19/2015","-","Single Sourced","1","","ETC/PPA","-","16th October, 2015","22nd October, 2015","Ghana Cedi","Gh¢98400.00","MAK CATERING SERVICES LIMITED","","NEXT TO LA GENERAL HOSPITAL, POST OFFICE BOX C1 1140 TEMA","","-"
"Internal Audit Agency","GR/IAA/GD/20/2015","-","Single Sourced","1","","ETC/PPA","-","16th October, 2015","22nd October, 2015","Ghana Cedi","Gh¢22660.00","UNIQUE FLAVOURS CATERING SERVICES","","POST OFFICE BOX MP 2037, MAMPROBI-ACCRA","","-"
"Internal Audit Agency","GR/IAA/GD/5/2016","-","Single Sourced","1","","ETC/PPA","-","14th July, 2016","20th July, 2016","Ghana Cedi","Gh¢58272.90","IN HIS OWN TIME VENTURES","","POST OFFICE BOX AN 12954 ACCRA NORTH","","-"
"Internal Audit Agency","GR/IAA/GD/7/2015","-","Single Sourced","1","","ETC/PPA","-","15th October, 2015","19th October, 2015","Ghana Cedi","Gh¢40000.00","INTELLIGENT SERVICES AND SUPPLIES","","POST OFFICE BOX CT4486, CANTONMENTS-ACCRA","","-"
