"Awarding Agency:","Tender Package No:","Tender Type:","Contract Type:","Lot #:","Tender Description:","Approval Auth:","Contract Date:","Delivery / Completion Date:","Contract Currency:","Contract Award Price:","Contract Awarded To:","Company Email:","Company Address:","Company Tel:","Supplier #:"
"University of Professional Studies - Accra","","-","Open Tender","lot 8","Supply of Fixed Steel Frame Chairs with Upholstery  Seats","Ministerial Tender Review Committee","07th September, 2015","20th November, 2015","Ghana Cedi","Gh¢122570.00","Yepon Ventures","","","","-"
"University of Professional Studies - Accra","GR/UPSA/GD/001/15","NCT","Open Tender","lot 1","Supply of Tall Shelving for Books, Double-Sided - qty 126 Pieces","Ministerial Tender Review Committee","07th September, 2015","20th November, 2015","Ghana Cedi","Gh¢30628080.00","Yepon Ventures","","","","-"
"University of Professional Studies - Accra","","-","Open Tender","lot 11","Supply of Business and Law Books","Central Tender Review Committee","09th July, 2015","20th September, 2015","Ghana Cedi","Gh¢108468499.00","Vidya Book Store Limited","","Vidya Book Store Limited P.O.Box 6667 Accra-North","","-"
"Komfo Anokye Teaching Hospital","AR/KATH/NCT/WK/010/12","NCT","Open Tender","66","a. Urology Instruments   b. Mobile Ultrasound Machine   c. Oxygen Flow Meters   d. Operating Microscope  e. Laparoscopy Instruments   f. O & G Instruments   g. Equilibration Chambers   h. Microsurgery Instruments   i. Diapact Crrt Machine CONSUMABLES   j. Nurses Uniform Materials   k. Stethoscope   l. Haematocrit   m. Medical Screens   n. Delivery Beds   o. Vacuum Extractor","Entity Tender Committee","31st December, 2012","31st January, 2013","Ghana Cedi","Gh¢59280.00","HANISA MEDICAL SUPPLIES SERVICES","","ACCRA","","-"
"Forestry Commission","","-","Open Tender","1","Printing and Supply of Corporate Dairies, Calendars and Cards","Entity Tender Committee","17th August, 2015","31st October, 2015","Ghana Cedi","Gh¢129600.00","KHOMARA PRINTING PRESS LTD","","P. O. BOX 584 TEMA","","-"
"Forestry Commission","","-","Open Tender","2","Printing and Supply of Corporate Dairies, Calendars and Cards","Entity Tender Committee","17th August, 2015","31st October, 2015","Ghana Cedi","Gh¢24557.50","Buck Press ltd","","P. O. Box AN 12321 Accra","","-"
"Forestry Commission","","-","Open Tender","1","Supply of Fabric","Entity Tender Committee","24th July, 2015","30th November, 2015","Ghana Cedi","Gh¢558360.00","Lamsikany Ltd","","P.O.Box GP 14574 Accra","","-"
"Forestry Commission","","-","Open Tender","2","Supply of Fabric","Entity Tender Committee","17th July, 2015","30th November, 2015","Ghana Cedi","Gh¢156600.00","Hope Jones Ven","","P. O. Box CT 5250 Accra","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0039/2015","NCT","Open Tender","1","Supply of Hospital Equipment for UCC Hospital (Haematology Analyzer)","Entity Tender Committee","26th October, 2015","26th November, 2015","Ghana Cedi","Gh¢83401.50","Arcoa Ghana Limited","","P. O. Box 9678, Cantonemnts, Accra","","-"
"University Of Cape Coast (UCC)","","-","Open Tender","1","SUPPLY OF 15 SEATER BUS","Ministerial Tender Review Committee","22nd April, 2015","22nd May, 2015","Ghana Cedi","Gh¢142350.00","SMICE INTERNATIONAL LIMITED","","SMICE INTERNATIONAL LIMITED P.O.BOX 19125 AN ACCRA-GHANA","","-"
"University Of Cape Coast (UCC)","","-","Open Tender","1","","Ministerial Tender Review Committee","22nd April, 2015","22nd May, 2015","Ghana Cedi","Gh¢142350.00","SMICE INTERNATIONAL LIMITED","","SMICE INTERNATIONAL LIMITED P.O.BOX 19125 AN ACCRA-GHANA","","-"
"Komfo Anokye Teaching Hospital","AR/KATH/NCT/WK/012/12","NCT","Open Tender","1","","Entity Tender Committee","20th December, 2012","20th March, 2013","Ghana Cedi","Gh¢77997.00","BAFFSTEV COMPANY LTD","","KUMASI","","-"
"University For Development Studies","NR/UDS/GD/104/2015","NCT","Open Tender","1","Supply of 4 x 4 Pick Up for the Wa Campus - Qty 2","Ministerial Tender Review Committee","07th September, 2015","25th September, 2015","Ghana Cedi","Gh¢318627.64","JAPAN MOTOR TRADING COMPANY LTD","","P. O. BOX 5219 ACCRA","","-"
"University For Development Studies","NR/UDS/GD/108/2015","NCT","Open Tender","1","Supply and Installation of Computers and Accessories - Qty 30","Ministerial Tender Review Committee","07th September, 2015","25th September, 2015","Ghana Cedi","Gh¢133500.00","TOTAL SUPPLIES AND SERVICES LTD","","P. O. BOX 1700 TAMALE","","-"
"University For Development Studies","NR/UDS/GD/105/2015","NCT","Open Tender","1","Printing of Examination Answer Booklets - Qty 400,000","Ministerial Tender Review Committee","07th September, 2015","07th November, 2015","Ghana Cedi","Gh¢193640.00","MUETPRESS SERVICES","","P. O. BOX 2419 TAMALE","","-"
"University For Development Studies","NR/UDS/GD/106/2015","NCT","Open Tender","1","Supply of 2016 Diaries and Calenders - Various","Ministerial Tender Review Committee","07th September, 2015","07th November, 2015","Ghana Cedi","Gh¢198990.00","KHOMARA PRINTING PRESS","","ACCRA","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0101/2015","NCT","Open Tender","1","Supply of 4x4 Vehicle (Colour:Wine) - 1","Entity Tender Committee","14th October, 2015","14th November, 2015","Ghana Cedi","Gh¢87568.80","Sunturk Super Market Limited","","Kotokoraba Cape Coast","","-"
"Korle Bu Teaching Hospital","GR/KBTH/GDS/0044/2012","NCT","Open Tender","2","Supply of Injections","Entity Tender Committee","17th October, 2012","30th September, 2013","Ghana Cedi","Gh¢43618.70","UNICOM CHEMIST","","BOX OS 591 OSU-ACCRA","","-"
"Korle Bu Teaching Hospital","GR/KBTH/GDS/0044/2012","NCT","Open Tender","3","Supply of Injections","Entity Tender Committee","17th October, 2012","30th September, 2013","Ghana Cedi","Gh¢6405.00","Herona Company Ltd","","Box KN 229, Kaneshie - Accra","","-"
"Bole District Assembly","NR/BDA/WK/ASL/01/2015","NCT","Open Tender","1","Lot 1a. Construction of Dormitory Block for Girls Module School  Lot 1b. Construction of Semi-Detached Staff Bungalow for Teachers of Girls Module School, Bole  Lot 1c. Construction of CHPS Compound at Babato   Lot 1d. Supply of Students Beds and Mattresses","Entity Tender Committee","26th October, 2015","26th November, 2015","Ghana Cedi","Gh¢72700.00","SUPREME CONEPT CO. LTD","","P. O. BOX 182 ACCRA","","-"
"University For Development Studies","","-","Open Tender","1","SUPPLY OF STATIONERY FOR THE FIRST TRIMESTER EXAMINATION","Entity Tender Committee","26th October, 2015","03rd November, 2015","Ghana Cedi","Gh¢91901.00","TOTAL SUPPLIES AND SERVICES LTD","","P. O. BOX 1700 TAMALE","","-"
"University For Development Studies","","-","Open Tender","1","SUPPLY OF TONERS AND CARTRIDGES FOR THE FIRST TRIMESTER EXAMINATION","Entity Tender Committee","26th October, 2015","03rd November, 2015","Ghana Cedi","Gh¢87578.00","TOTAL SUPPLIES AND SERVICES LTD","","P. O. BOX 1700 TAMALE","","-"
"Korle Bu Teaching Hospital","GR/KBTH/GDS/0044/2012","NCT","Open Tender","4","Supply of Injections","Entity Tender Committee","17th October, 2012","30th September, 2013","Ghana Cedi","Gh¢45700.00","LYMENS MEDICAL SUPPLIES","","BOX DS1776 DANSOMAN","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0004/2015","NCT","Open Tender","1","Supply of T-Shirts for S.R.C. - qty 6000","Ministerial Tender Review Committee","17th November, 2015","17th December, 2015","Ghana Cedi","Gh¢150000.00","The Graphics Lab Limited","","P. O. BOX CT 10003 CANTONMENTS ACCRA","","-"
"University Of Cape Coast (UCC)","","-","Open Tender","1","Supply of 30 Seater Bus","Ministerial Tender Review Committee","17th November, 2015","17th December, 2015","Ghana Cedi","Gh¢357000.00","SMICE INTERNATIONAL LIMITED","","SMICE INTERNATIONAL LIMITED P.O.BOX 19125 AN ACCRA-GHANA","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0046/2015","NCT","Open Tender","1","Supply of A4 Paper for Stock - 3,500 Reams","Entity Tender Committee","19th November, 2015","19th December, 2015","Ghana Cedi","Gh¢54250.00","MADSON JAPAN ENGINEERING GHANA LIMITED","","P.O. BOX 16990, ACCRA","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0016/2015","NCT","Open Tender","1","Supply of Spectrometer for Biochemistry Department of UCC - 1","Entity Tender Committee","19th November, 2015","19th December, 2015","Ghana Cedi","Gh¢62410.00","BEAUTIFUL CREATIONS CO. LIMITED","","P. O. BOX GP 2821 ACCRA","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0012/2015","NCT","Open Tender","1","Supply of Desktop Computers and UPSs for CoDE - 20","Entity Tender Committee","19th November, 2015","19th December, 2015","Ghana Cedi","Gh¢46000.00","MADSON JAPAN ENGINEERING GHANA LIMITED","","P.O. BOX 16990, ACCRA","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0012/2015","NCT","Open Tender","2","Supply of Desktop Computers and UPSs for CoDE - 20","Entity Tender Committee","19th November, 2015","19th December, 2015","Ghana Cedi","Gh¢35581.62","IPMC Limited","","P. O. Box AN7617, Accra North","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0043/2015","NCT","Open Tender","1","Supply and Installation of Printer - 1","Entity Tender Committee","19th November, 2015","19th December, 2015","Ghana Cedi","Gh¢55514.52","IPMC Limited","","P. O. Box AN7617, Accra North","","-"
"Korle Bu Teaching Hospital","GR/KBTH/GDS/0044/2012","NCT","Open Tender","5","Supply of Injections","Entity Tender Committee","17th October, 2012","30th September, 2013","Ghana Cedi","Gh¢19575.00","EAST CANTONMENTS","","BOX GP 20149 ACCRA","","-"
"University Of Cape Coast (UCC)","C.CR/UCC/GD/0079/2014","NCT","Open Tender","1","Supply and Installation of  a. Index Braille Embosser     b. Perkins Braille Machines","Entity Tender Committee","19th November, 2015","19th December, 2015","Ghana Cedi","Gh¢74200.00","Alsale Services Limited","","P. O. Box CT 3490, Cantonments, Accra","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0069/2015","NCT","Open Tender","1","Supply of Stationary Stock - Various","Entity Tender Committee","19th November, 2015","19th December, 2015","Ghana Cedi","Gh¢7425.00","Prime Line Procurement Limited","","P. O. Box GP 17843 Accra","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0069/2015","NCT","Open Tender","3","Supply of Stationary Stock - Various","Entity Tender Committee","19th November, 2015","19th December, 2015","Ghana Cedi","Gh¢5600.00","Prime Office Solutions","","P. O. Box GP 13357 Accra","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0069/2015","NCT","Open Tender","2","Supply of Stationary Stock - Various","Entity Tender Committee","19th November, 2015","19th December, 2015","Ghana Cedi","Gh¢10152.00","Ostenfield Enterprise","","P. O. Box 347, Teshie-Nungua, Accra","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0069/2015","NCT","Open Tender","4","Supply of Stationary Stock - Various","Entity Tender Committee","19th November, 2015","19th December, 2015","Ghana Cedi","Gh¢9076.88","Ostenfield Enterprise","","P. O. Box 347, Teshie-Nungua, Accra","","-"
"University Of Cape Coast (UCC)","","-","Open Tender","1","Supply of office furniture","Entity Tender Committee","19th November, 2015","19th December, 2015","Ghana Cedi","Gh¢11985.00","Central Furniture Works","","P. O. Box KN188, Accra","","-"
"University Of Cape Coast (UCC)","","-","Open Tender","3","Supply of office Furniture","Entity Tender Committee","19th November, 2015","19th December, 2015","Ghana Cedi","Gh¢8225.00","Central Furniture Works","","P. O. Box KN188, Accra","","-"
"University Of Cape Coast (UCC)","","-","Open Tender","2","Supply of office Furniture","Entity Tender Committee","19th November, 2015","19th December, 2015","Ghana Cedi","Gh¢11600.00","Manjigo Company Limited","","P. O. box AN6418, Accra North","","-"
"University Of Cape Coast (UCC)","","-","Open Tender","4","Supply of Office Furniture","Entity Tender Committee","19th November, 2015","19th December, 2015","Ghana Cedi","Gh¢11600.00","Manjigo Company Limited","","P. O. box AN6418, Accra North","","-"
"Korle Bu Teaching Hospital","GR/KBTH/GDS/0044/2012","NCT","Open Tender","6","Supply of Injections","Entity Tender Committee","10th October, 2012","30th September, 2013","Ghana Cedi","Gh¢2800.00","LA GRAY","","BOX NW224 NSAWAM","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0030/2015","NCT","Open Tender","1","Supply and Installation of Air Conditioners for IEd, UJHS and Basement of the University of Cape Coast - Various","Entity Tender Committee","19th November, 2015","19th December, 2015","Ghana Cedi","Gh¢14900.00","Contra Focus Limited","","","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0030/2015","NCT","Open Tender","2","Supply and Installation of Split Unit Air conditioners for UJHS","Entity Tender Committee","19th November, 2015","19th December, 2015","Ghana Cedi","Gh¢19900.00","Contra Focus Limited","","","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0030/2015","NCT","Open Tender","3","Supply and Installation of Air Conditioners for IEd, UJHS and Basement of the University of Cape Coast - Various","Entity Tender Committee","19th November, 2015","19th December, 2015","Ghana Cedi","Gh¢7850.00","Contra Focus Limited","","","","-"
"Social Security and National Insurance Trust (SSNIT)","GR/SSNIT/GD/0025/2015","NCT","Open Tender","1","Promotional Aids","Ministerial Tender Review Committee","09th November, 2015","21st December, 2015","Ghana Cedi","Gh¢124785.00","Jit Magazine and Diaries Services Limited","","P. O. Box AO 667, Abossey Okai, Accra","","-"
"Social Security and National Insurance Trust (SSNIT)","GR/SSNIT/GD/0025/2015","NCT","Open Tender","2","Promotional Aids","Ministerial Tender Review Committee","09th November, 2015","21st December, 2015","Ghana Cedi","Gh¢138400.00","Checkpoint Ghana Limited","","P. O. Box 865, Mamprobi, Accra","","-"
"Social Security and National Insurance Trust (SSNIT)","","-","Open Tender","","Supply Edisecure Computer Consumables","Central Tender Review Committee","11th November, 2015","22nd December, 2015","Ghana Cedi","Gh¢1618560.00","Perfect Business Systems Limited","","P. O. Box GP13724, Accra","","-"
"Social Security and National Insurance Trust (SSNIT)","","-","Open Tender","","Supply of Laptop Computers","Central Tender Review Committee","11th November, 2015","22nd December, 2015","Ghana Cedi","Gh¢853875.00","Perfect Business Systems Limited","","P. O. Box GP13724, Accra","","-"
"Ghana Cocoa Board","GCB/PU/RT/V.4/2012/07","NCT","Open Tender","1","Procurement of various vehicle tyres","Entity Tender Committee","24th November, 2015","24th March, 2016","Ghana Cedi","Gh¢168750.00","STELIN AUTOMOTIVE & tRADING CO. LTD","","P. O. BOX 19941, ACCRA - NORTH","","-"
"Ghana Cocoa Board","","-","Open Tender","1","SUPPLY OF ONE (1) UNIT TOYOTA 4WD HILUX DOUBLE CABIN DELUXE PICK-UP","Entity Tender Committee","24th November, 2015","24th March, 2016","Ghana Cedi","Gh¢168750.00","STELIN AUTOMOTIVE & tRADING CO. LTD","","P. O. BOX 19941, ACCRA - NORTH","","-"
"Korle Bu Teaching Hospital","GR/KBTH/GDS/0044/2012","NCT","Open Tender","7","Supply of Injections","Entity Tender Committee","17th October, 2012","30th September, 2013","Ghana Cedi","Gh¢33910.00","ERNEST CHEMIST","","BOX 3345 ACCRA","","-"
"Ghana Cocoa Board","","-","Open Tender","1","SUPPLY OF 2,315 PIECES OF DAHOMA HARD WOODEN PALLETS","Entity Tender Committee","16th November, 2015","16th February, 2016","Ghana Cedi","Gh¢567175.00","AMPS FAMILY COMPANY LIMITED","","P.O BOX 625 NSAWAM","","-"
"Ghana Aids Commission","GAC/GOG/GF/E/06/2013","NCT","Open Tender","","Lot 1: Household Items   a. Fridge (Tle Top)  b. Television and DVD   c. Video Camera   d. Carpeting   e. standing Fan   f. Couch   g. Recreational items (DSTV, Ludo, Oware, Draft, Chess, Scrble, Playing cards)    Lot 2: Medical Equipment  a. Instrument Trolley   b. Health Screen   c. Digital BP Apparatus   d. Body Weight Scale   f. Disposle Speculum (Quantity TBD)   g. Kidney Dish (Small and Big)   h. Digital Thermometer   i. Veronica Bucket   j. Sink (Steel)   k. Consulting Tle and Chair   l. Plastic Chairs","Ministerial Tender Review Committee","08th June, 2015","07th September, 2015","Ghana Cedi","Gh¢359902.50","Alsales Services Limited","","P.O. Box CT 3940 Cantonments -Accra","","-"
"Ghana Aids Commission","GAC/GOG/GF/E/06/2013","NCT","Open Tender","","Lot 1: Household Items   a. Fridge (Tle Top)  b. Television and DVD   c. Video Camera   d. Carpeting   e. standing Fan   f. Couch   g. Recreational items (DSTV, Ludo, Oware, Draft, Chess, Scrble, Playing cards)    Lot 2: Medical Equipment  a. Instrument Trolley   b. Health Screen   c. Digital BP Apparatus   d. Body Weight Scale   f. Disposle Speculum (Quantity TBD)   g. Kidney Dish (Small and Big)   h. Digital Thermometer   i. Veronica Bucket   j. Sink (Steel)   k. Consulting Tle and Chair   l. Plastic Chairs","Ministerial Tender Review Committee","08th June, 2015","07th September, 2015","Ghana Cedi","Gh¢359902.50","Alsales Services Limited","","P.O. Box CT 3940 Cantonments -Accra","","-"
"Social Security and National Insurance Trust (SSNIT)","","-","Open Tender","3","Supply of Computer Consumable","Ministerial Tender Review Committee","14th July, 2015","04th August, 2015","Ghana Cedi","Gh¢137924.77","Mericom Solution (Gh) Limited","","P.O.Box CO 819 Tema","","-"
"Ghana Aids Commission","GAC/GOG/GF/E/06/2013","NCT","Open Tender","","Lot 1: Household Items   a. Fridge (Tle Top)  b. Television and DVD   c. Video Camera   d. Carpeting   e. standing Fan   f. Couch   g. Recreational items (DSTV, Ludo, Oware, Draft, Chess, Scrble, Playing cards)    Lot 2: Medical Equipment  a. Instrument Trolley   b. Health Screen   c. Digital BP Apparatus   d. Body Weight Scale   f. Disposle Speculum (Quantity TBD)   g. Kidney Dish (Small and Big)   h. Digital Thermometer   i. Veronica Bucket   j. Sink (Steel)   k. Consulting Tle and Chair   l. Plastic Chairs","Ministerial Tender Review Committee","08th June, 2015","16th July, 2015","Ghana Cedi","Gh¢136200.00","Triple A Enterprise Limited","","Triple A Enterprise Limited P. O. Box LT 655 Laterbiokorshie - Accra","","-"
"National Petroleum Authority","gr/npa/gd/0002/2015","NCT","Open Tender","1","Laptops - Qty 14","Entity Tender Committee","29th July, 2015","09th September, 2015","Ghana Cedi","Gh¢37800.00","PERFECT BUSINESS SYSTEMS","","P. O. BOX GP 13724 ACCRA","","-"
"National Petroleum Authority","gr/npa/gd/0002/2015","NCT","Open Tender","2","Laptops - Qty 14","Entity Tender Committee","29th July, 2015","25th September, 2015","Ghana Cedi","Gh¢10575.00","Contra-Focus Limited","","P. O. Box 16518 Accra-North Accra","","-"
"Ghana Broadcasting Corporation","GR/GBC/GD/001/2012","NCT","Open Tender","1","1. Fax Roll    2. A4 Papers     3. Cartridge and Toners     4. Printing of Drivers Log Books","Entity Tender Committee","13th July, 2012","13th August, 2012","Ghana Cedi","Gh¢44393.11","BRIGHTWAY ENTERPRISE","","","","-"
"Ghana Health Service","GHS/ER/2012/NCT/B.2.1/01","NCT","Open Tender","Various","Supply of Essential Medicines","Regional Tender Review Committee","25th July, 2012","31st December, 2012","Ghana Cedi","Gh¢811500.00","Ernest Chemists Ltd","","P.O.Box 3345 Accra","","-"
"Korle Bu Teaching Hospital","GR/KBTH/GDS/0044/2012","NCT","Open Tender","8","Supply of Injections","Entity Tender Committee","17th October, 2012","30th September, 2013","Ghana Cedi","Gh¢6870.00","GOKALS LABOREX","","BOX GP 623 KANESHIE","","-"
"National Petroleum Authority","GR/NPA/GD/0044/2015","NCT","Open Tender","1","Networking Equipment (4 Items)","Entity Tender Committee","16th September, 2015","06th October, 2015","Ghana Cedi","Gh¢96237.26","PERFECT BUSINESS SYSTEMS","","P. O. BOX GP 13724 ACCRA","","-"
"National Petroleum Authority","GR/NPA/GD/0086/2015","NCT","Open Tender","1","Supply of Server and Accessories","Entity Tender Committee","17th September, 2015","09th November, 2015","Ghana Cedi","Gh¢54800.00","PERFECT BUSINESS SYSTEMS","","P. O. BOX GP 13724 ACCRA","","-"
"Korle Bu Teaching Hospital","GR/KBTH/GDS/0044/2012","NCT","Open Tender","9","Supply of Injections","Entity Tender Committee","17th October, 2012","30th September, 2013","Ghana Cedi","Gh¢16500.00","RYZEN PHARMA","","BOX AN 11573 ACCRA","","-"
"Korle Bu Teaching Hospital","GR/KBTH/GDS/0044/2012","NCT","Open Tender","10","Supply of Injections","Entity Tender Committee","17th October, 2012","30th September, 2013","Ghana Cedi","Gh¢19445.00","SUPRA PHARMA","","PMB CT 333 CANTONMENTS ACCRA","","-"
"Korle Bu Teaching Hospital","GR/KBTH/GDS/0044/2012","NCT","Open Tender","11","Supply of Injections","Entity Tender Committee","17th October, 2012","30th September, 2013","Ghana Cedi","Gh¢5593.75","Gokals Ltd","","P.O.Box GP623 Accra","","-"
"University Of Cape Coast (UCC)","","-","Open Tender","1","Supply of soaps","Entity Tender Committee","07th October, 2015","30th October, 2015","Ghana Cedi","Gh¢87568.80","Sunturk Super Market Limited","","Kotokoraba Cape Coast","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0086/2015","NCT","Open Tender","1","Supply of Photocopier for Division of Human Resource","Entity Tender Committee","07th October, 2015","07th November, 2015","Ghana Cedi","Gh¢27055.55","MFI Ghana Limited","","","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0022/2015","NCT","Open Tender","1","Supply of 2016 Diaries","Entity Tender Committee","27th October, 2015","27th December, 2015","Ghana Cedi","Gh¢104990.00","below the line Ghana Limited","","","","-"
"Korle Bu Teaching Hospital","GR/KBTH/GDS/0044/2012","NCT","Open Tender","12","Supply of Injections","Entity Tender Committee","17th October, 2012","30th September, 2013","Ghana Cedi","Gh¢46000.00","REISS & CO","","BOX CT 5064 CANTONMENT ACCRA","","-"
"St. Marys Senior High School","","-","Open Tender","1","STATIONERY (STUDENT SUPPLIES)","Entity Tender Committee","01st November, 2015","24th November, 2015","Ghana Cedi","Gh¢55780.00","M-SENSAH VENTURES","","P. O. BOX SC 97 TEMA 0244981671","","-"
"St. Marys Senior High School","","-","Open Tender","4","P. E. KITS","Entity Tender Committee","01st November, 2015","20th December, 2015","Ghana Cedi","Gh¢12300.00","CYNDEX LIMITED","","P. O. DS 1165 DANSOMAN ACCRA","","-"
"National Pensions Regulatory Authority","","-","Open Tender","1","Supply of Computers and Accessories","Entity Tender Committee","05th November, 2015","26th November, 2015","Ghana Cedi","Gh¢100000.00","IT Market LTD","","P.O, Box KD 759 Kanda - Accra","","-"
"Korle Bu Teaching Hospital","GR/KBTH/GDS/0044/2012","NCT","Open Tender","13","Supply of Injections","Entity Tender Committee","17th October, 2012","30th September, 2013","Ghana Cedi","Gh¢18750.00","INTRAVENOUS INFUSION LTD","","BOXKF63 KOFORIDUA GHANA","","-"
"Korle Bu Teaching Hospital","GR/KBTH/GDS/0044/2012","NCT","Open Tender","14","Supply of Injections","Entity Tender Committee","17th October, 2012","30th September, 2013","Ghana Cedi","Gh¢10432.00","WORLDWIDE HEALTHCARE","","BOX KN 1156 KANESHIE-ACCRA GHANA","","-"
"Korle Bu Teaching Hospital","GR/KBTH/GDS/0044/2012","NCT","Open Tender","15","Supply of Injections","Entity Tender Committee","17th October, 2012","30th September, 2013","Ghana Cedi","Gh¢86700.00","MOKAT CHEMIST","","BOX CT 269 CANTONMENTS ACCRA","","-"
"Korle Bu Teaching Hospital","GR/KBTH/GDS/0002/2012","NCT","Open Tender","1","Tablets and Capsules","Entity Tender Committee","17th October, 2012","30th September, 2013","Ghana Cedi","Gh¢12000.00","HILLS PHARMACY","","BOX GP 20149 ACCRA","","-"
"National Petroleum Authority","GR/NPA/GD/0097/2015","NCT","Open Tender","","Supply of Motorcycles","Entity Tender Committee","16th November, 2015","16th December, 2016","Ghana Cedi","Gh¢43300.00","CFAO Ghana Limited","","P. O. Box GP70 Accra","","-"
"National Petroleum Authority","GR/NPA/GD/0097/2015","NCT","Open Tender","","Supply of Motorcycles","Entity Tender Committee","23rd November, 2015","23rd December, 2016","Ghana Cedi","Gh¢20009.18","Consolidated Enterprises Ghana Ltd","","No. B11 Afresco Estates Baatsona Accra","","-"
"National Petroleum Authority","GR/NPA/GD/0102/2015","NCT","Open Tender","1","Lot 1: Printer  Lot 2: Copier  Lot 3: Scanner","Entity Tender Committee","02nd December, 2015","04th January, 2106","Ghana Cedi","Gh¢166681.21","IPMC","","P. O. Box AN7617 Accra-North Accra","","-"
"National Petroleum Authority","GR/NPA/GD/0103/2015","NCT","Open Tender","1","Supply of 1.8 Ltr Saloon Vehicles","Entity Tender Committee","02nd December, 2015","28th January, 2015","Ghana Cedi","Gh¢290079.00","Toyota Ghana company Limited","","P.O.Box 1644 Accra","","-"
"Korle Bu Teaching Hospital","GR/KBTH/GDS/0002/2012","NCT","Open Tender","2","Tablets and Capsules","Entity Tender Committee","17th October, 2012","30th September, 2013","Ghana Cedi","Gh¢11032.00","SUPRA PHARMA","","PMB CT 333 CANTONMENTS ACCRA","","-"
"Ghana Health Service","GHS/ER/2012/NCT/B.2.1/01","NCT","Open Tender","Various","Supply of Essential Medicines","Regional Tender Review Committee","25th July, 2012","31st December, 2012","Ghana Cedi","Gh¢746200.00","Sanbao Pharma Ltd","","P.O.Box CE12118 Comm.11-Tema","","-"
"University of Professional Studies - Accra","IPS/NCT/PC/10/12","NCT","Open Tender","1","Desk-Top Computer - 36","Entity Tender Committee","12th October, 2012","01st September, 2013","Ghana Cedi","Gh¢88429.16","IPMC","","P. O. Box AN7617 Accra-North Accra","","-"
"Ministry of Education","","-","Open Tender","AS01","Upgrade of Selected Structures at 50 SHS","Central Tender Review Committee","10th June, 2015","01st August, 2016","Ghana Cedi","Gh¢357358.19","Ramasad Co. Ltd","","P. O Box 20302, Accra","","-"
"Ministry of Education","","-","Open Tender","AS02","Upgrade of Selected Structures at 50 SHS","Central Tender Review Committee","10th June, 2015","01st August, 2016","Ghana Cedi","Gh¢486461.89","Georgeland Ventures Limited","","P. O. Box CT 5655,  Cantonments -Accra","","-"
"Ministry of Education","","-","Open Tender","AS03","","Central Tender Review Committee","10th June, 2015","01st August, 2016","Ghana Cedi","Gh¢404733.04","Luminex Limited","","P. O Box 772, Techiman","","-"
"Ministry of Education","","-","Open Tender","AS04","Upgrade of Selected Structures at 50 SHS","Central Tender Review Committee","10th June, 2015","01st August, 2016","Ghana Cedi","Gh¢389772.62","Wass (Gh) Limited","","P. O Box CT2764, Cantonment","","-"
"Ministry of Education","","-","Open Tender","AS05","Upgrade of Selected Structures at 50 SHS","Central Tender Review Committee","10th June, 2015","01st August, 2016","Ghana Cedi","Gh¢421924.77","Attachy Construction Limited","","P. O Box 817, Kumasi","","-"
"Ministry of Education","","-","Open Tender","AS06","Upgrade of Selected Structures at 50 SHS","Central Tender Review Committee","10th June, 2015","01st August, 2016","Ghana Cedi","Gh¢468282.03","Koddey Ghana Limited","","P. O Box CT4587, Cantonment","","-"
"Ministry of Education","","-","Open Tender","AS07","Upgrade of Selected Structures at 50 SHS","Central Tender Review Committee","10th June, 2015","01st August, 2016","Ghana Cedi","Gh¢401361.03","Madabu Company Limited","","P. O Box 165, Wa","","-"
"Ministry of Education","","-","Open Tender","AS08","Upgrade of Selected Structures at 50 SHS","Central Tender Review Committee","10th June, 2015","01st August, 2016","Ghana Cedi","Gh¢418321.80","Alsarp Limited","","P. O Box 4650, Kumasi","","-"
"Ministry of Education","","-","Open Tender","BA01","Upgrade of Selected Structures at 50 SHS","Ministerial Tender Review Committee","10th June, 2015","01st August, 2016","Ghana Cedi","Gh¢545877.79","E. D John Construction Limited","","P. O Box M73, North-Kaneshie","","-"
"University of Professional Studies - Accra","IPS/NCT/PC/08/12","NCT","Open Tender","1","Supply of Desktop Computers - qty33","Entity Tender Committee","24th September, 2012","18th October, 2012","Ghana Cedi","Gh¢97878.00","HENIDAVIS COMPUTER SYSTEMS","","P. O. BOX GP 2567, ACCRA - CENTRAL. GHANA","","-"
